Smiles,pChEMBL
O=C(NCc1ccc(F)cc1)c1nc(N2CCCCS2(=O)=O)c2cccnc2c1O,9.30102999566398
NC(=O)c1c2c(c(O)c3ncc(Cc4cccc(Cl)c4F)cc13)C(=O)N1CCCC[C@@H]21,9.221848749616356
NC(=O)c1c2c(c(O)c3ncc(Cc4cccc(Cl)c4F)cc13)C(=O)N1CCCC[C@H]21,9.154901959985745
CC(C)n1c(=O)c(C(=O)NCc2ccc(F)cc2)c(O)c2ncccc21,9.0
COc1cc2c(cc1Cc1cccc(Cl)c1F)c(=O)c(C(=O)O)cn2[C@H](CO)C(C)C,8.744727494896694
O=S1(=O)CCCCN1c1nc(-c2nnc(Cc3ccc(F)cc3)o2)c(O)c2ncccc12,8.698970004336019
Cc1cc(F)ccc1CNC(=O)c1nc2n(c(=O)c1O)CCOC2(C)C,8.698970004336019
Cn1cc(CN2CCn3c(nc(C(=O)NCc4ccc(F)cc4)c(O)c3=O)C2(C)C)nn1,8.698970004336019
C[C@H](O)CNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(C)c1=O,8.698970004336019
CN(C)C1(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)CCOCC1,8.698970004336019
CC1(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2CCN1Cc1nnn[nH]1,8.698970004336019
O=C(O)C(=O)/C=C(\O)c1cn(Cc2ccc(F)cc2)c2ccccc12,8.698970004336019
Cc1cc(CNC(=O)c2nc3n(c(=O)c2O)CCCC32CCCC2)ccc1F,8.698970004336019
O=C(NCc1ccc(F)cc1)c1cn2c(c(O)c1=O)C(=O)N1CCCO[C@H]1C2,8.698970004336019
N#Cc1c2c(c(O)c3ncc(Cc4cccc(Cl)c4F)cc13)C(=O)N1CCCN1C2,8.657577319177793
Cc1nnc(C(=O)NC(C)(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)o1,8.619788758288394
C[C@@H]1CCO[C@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,8.568636235841012
O=C1c2ncc3c(ccn3Cc3ccc(F)cc3)c2CCN1O,8.537602002101044
CC1(C)OCCn2c1nc(C(=O)NCc1ccc(F)cc1)c(O)c2=O,8.522878745280337
Cc1cc(CNC(=O)c2nc3n(c(=O)c2O)CCOC3(C)C)ccc1F,8.522878745280337
CN(C)C(=O)Cn1c(=O)c(C(=O)NC2CC2)c(O)c2ncc(Cc3ccc(F)cc3)cc21,8.522878745280337
CC1(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2CCN1CCN1CCOCC1,8.522878745280337
Cn1c(C(C)(C)N2CCOCC2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,8.522878745280337
CC1(C)OCCn2c1nc(C(=O)NCc1ccc(F)c(Cl)c1)c(O)c2=O,8.522878745280337
C[C@H](O)CNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2[nH]c1=O,8.522878745280337
CSC1COCC1c1nc(C(=O)NCc2ccc(F)cc2)c(O)c(=O)n1C,8.522878745280337
CC1(C)c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2CCN1Cc1cocn1,8.522878745280337
Cn1c(=O)c(C(=O)NCCO)c(O)c2ncc(Cc3ccc(F)cc3)cc21,8.522878745280337
CC(C)(CO)NC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2[nH]c1=O,8.522878745280337
COCCN1CCN(c2cc(F)ccc2CNC(=O)c2nc(C3CCOC3)n(C)c(=O)c2O)C1=O,8.522878745280337
NC(=O)c1c2c(c(O)c3ncc(Cc4cccc(Cl)c4F)cc13)C(=O)N1CCC[C@H]1C2,8.522878745280337
C[C@@H](CO)CNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(C)c1=O,8.522878745280337
O=C(NCc1ccc(F)cc1)c1nc2n(c(=O)c1O)CCCC21CCCC1,8.522878745280337
C[C@H]1CO[C@@H]2Cn3cc(C(=O)NCc4ccc(F)cc4F)c(=O)c(O)c3C(=O)N12,8.522878745280337
COCCNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(C)c1=O,8.397940008672037
CNC(=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2n(C)c1=O,8.397940008672037
O=C(NCCCN1CCCC1=O)c1c(O)c2ncc(Cc3ccc(F)cc3)cc2[nH]c1=O,8.397940008672037
Cn1c(C2CCOC2)nc(C(=O)NCc2ccc(F)cc2)c(O)c1=O,8.397940008672037
CC(=O)N1CCN(C)C(C)(c2nc(C(=O)NCc3ccc(F)cc3)c(O)c(=O)n2C)C1,8.397940008672037
